atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
2.5,5.0,5,50,2.0,-4.395982682168214
2.5,5.0,5,60,1.0,-4.8831538153511795
2.5,5.0,5,60,1.5,-3.1727048002951417
2.5,5.0,5,60,2.0,-4.747965011891011
2.5,5.0,10,40,1.0,-5.46017333436148
2.5,5.0,10,40,1.5,-6.3651805570221764
2.5,5.0,10,40,2.0,-4.395982682168214
2.5,5.0,10,50,1.0,-5.816635814579549
2.5,5.0,10,50,1.5,-3.0376739681461915
2.5,5.0,10,50,2.0,-4.497561105172354
2.5,5.0,10,60,1.0,-6.956592663029223
2.5,5.0,10,60,1.5,-3.0376739681461915
2.5,5.0,10,60,2.0,-4.747965011891011
2.5,5.0,15,40,1.0,-5.657054246455573
2.5,5.0,15,40,1.5,-6.2424632721383935
2.5,5.0,15,40,2.0,-4.497561105172354
2.5,5.0,15,50,1.0,-8.938236043058113
2.5,5.0,15,50,1.5,-6.493883694098404
2.5,5.0,15,50,2.0,-4.747965011891011
2.5,5.0,15,60,1.0,-9.368698757760194
2.5,5.0,15,60,1.5,-3.3211811155046234
2.5,5.0,15,60,2.0,-4.563240819843849
2.5,6.0,5,40,1.0,-6.5590624188777475
2.5,6.0,5,40,1.5,-4.075961582924938
2.5,6.0,5,40,2.0,-4.487414433037975
2.5,6.0,5,50,1.0,-6.79766540650504
2.5,6.0,5,50,1.5,-5.595961578859551
2.5,6.0,5,50,2.0,-4.487414433037975
2.5,6.0,5,60,1.0,-6.7685095194026506
2.5,6.0,5,60,1.5,-5.595961578859551
2.5,6.0,5,60,2.0,-4.874509683380183
2.5,6.0,10,40,1.0,-7.55417925299511
2.5,6.0,10,40,1.5,-5.5711847202845455
2.5,6.0,10,40,2.0,-4.487414433037975
2.5,6.0,10,50,1.0,-7.511832987343932
2.5,6.0,10,50,1.5,-5.458343911928405
2.5,6.0,10,50,2.0,-4.624105776661526
2.5,6.0,10,60,1.0,-8.864104811793732
2.5,6.0,10,60,1.5,-5.458343911928405
2.5,6.0,10,60,2.0,-4.874509683380183
2.5,6.0,15,40,1.0,-6.586279269485476
2.5,6.0,15,40,1.5,-5.4726834489222345
2.5,6.0,15,40,2.0,-4.624105776661526
2.5,6.0,15,50,1.0,-10.105978852026801
2.5,6.0,15,50,1.5,-5.724103870882245
2.5,6.0,15,50,2.0,-4.874509683380183
2.5,6.0,15,60,1.0,-9.95279880611959
2.5,6.0,15,60,1.5,-2.2178250213840514
2.5,6.0,15,60,2.0,-4.6996535880170995
3.0,2.0,5,40,1.0,-6.471345615168975
3.0,2.0,5,40,1.5,-0.997050365426221
3.0,2.0,5,40,2.0,-3.574587497318862
3.0,2.0,5,50,1.0,-5.942706099068764
3.0,2.0,5,50,1.5,-1.836975302494575
3.0,2.0,5,50,2.0,-3.6703390976606536
3.0,2.0,5,60,1.0,-6.139068979840976
3.0,2.0,5,60,1.5,-1.8766413005501816
3.0,2.0,5,60,2.0,-3.694965980551624
3.0,2.0,10,40,1.0,-6.094646545780743
3.0,2.0,10,40,1.5,-1.9697801370021444
3.0,2.0,10,40,2.0,-3.6703390976606536
3.0,2.0,10,50,1.0,-5.661158553641163
3.0,2.0,10,50,1.5,-1.434687771214103
3.0,2.0,10,50,2.0,-3.39022197450915
3.0,2.0,10,60,1.0,-5.592195800868521
3.0,2.0,10,60,1.5,-1.4108548995754244
3.0,2.0,10,60,2.0,-3.694965980551624
3.0,2.0,15,40,1.0,-3.932352682800283
